constraints	AC3	SAC1	DC1	FDC
5	990.0013732910157	990.0013732910157	990.0013732910157	990.0013732910157
25	890.0010681152344	890.0010681152344	890.0010681152344	890.0010681152344
45	820.0001525878906	820.0001525878906	820.0001525878906	820.0001525878906
65	760.0013732910159	739.9971008300781	739.9971008300781	739.9971008300781
85	730.0019836425781	670.0032043457032	670.0032043457032	670.0032043457032
105	709.9977111816406	609.9974060058593	609.9974060058593	609.9974060058593
125	690.000457763672	560.0007629394532	560.0007629394532	560.0007629394532
145	679.9983215332031	530.0013732910159	519.9992370605469	519.9992370605469
165	670.0032043457032	509.9971008300781	500.0019836425782	500.0019836425782
185	660.0010681152344	489.99984741210943	479.9977111816407	479.9977111816407
