constraints	Global
25	871.8986511230469
45	794.2085266113281
65	726.1466979980469
85	661.2052917480469
105	600.9178161621094
125	547.8172302246094
145	503.2997131347656
165	464.9772644042969
185	431.9648742675781
205	401.8745422363281
225	376.9950866699219
245	354.5036315917969
265	332.7445983886719
285	314.6171569824219
305	298.9997863769531
325	283.4739685058594
345	270.1225280761719
365	257.6789855957031
385	246.57821655273438
405	236.97280883789062
425	227.81753540039062
445	219.05899047851562
465	210.69717407226562
